"datetime";"date";"time";"price";"shares";"amount";"tax";"fee";"realizedgains";"type";"broker";"assettype";"identifier";"wkn";"originalcurrency";"currency";"fxrate";"holding";"holdingname";"holdingnickname";"exchange";"avgholdingperiod"
"2025-06-30T12:18:37.465Z";"30.06.2025";"14:18:00";1;450;450;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-06-30T12:18:33.938Z";"30.06.2025";"14:18:00";1;3;3;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-06-30T09:42:42.004Z";"30.06.2025";"11:42:00";1;6,86;6,86;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-06-30T07:00:00.001Z";"30.06.2025";"09:00:00";51,66;0,018583;0,96;0;0;;"Buy";"trade_republic";"Security";"CA11271J1075";"A3D3EV";;"EUR";;;"Brookfield Corporation";"";"langschwarz";
"2025-06-30T07:00:00.000Z";"30.06.2025";"09:00:00";0,0768;12,466417;0,96;0,36;0;;"Dividend";"trade_republic";"Security";"CA11271J1075";"A3D3EV";;"EUR";;;"Brookfield Corporation";"";"langschwarz";
"2025-06-30T00:00:00.000Z";"30.06.2025";"02:00:00";1;0,04;0,04;0;0;;"Interest";"scalable_capital";;;;;"EUR";;"hld_67bf91d99bbda8421ff8340f";;"Verrechnungskonto";;
"2025-06-29T21:35:51.317Z";"29.06.2025";"23:35:00";1;150;150;0;0;;"TransferIn";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-06-28T09:54:44.771Z";"28.06.2025";"11:54:00";1;3;3;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-06-27T13:41:36.409Z";"27.06.2025";"15:41:00";1;3076,23;3076,23;0;0;;"TransferIn";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-06-26T09:43:47.538Z";"26.06.2025";"11:43:00";1;3,87;3,87;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-06-26T07:00:00.000Z";"26.06.2025";"09:00:00";0,45;1;0,45;0,07;0;;"Dividend";"scalable_capital";"Security";"US30303M1027";"A1JWVX";;"EUR";;;"Meta Platforms";"";"";
"2025-06-26T07:00:00.000Z";"26.06.2025";"09:00:00";0,49;0,017516;0,00862;0;0;;"Dividend";"trade_republic";"Security";"US30303M1027";"A1JWVX";;"EUR";;;"Meta Platforms";"";"langschwarz";
"2025-06-24T19:45:17.685Z";"24.06.2025";"21:45:00";1;30;30;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-06-23T16:25:21.718Z";"23.06.2025";"18:25:00";1;14,02;14,02;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-06-23T10:23:29.538Z";"23.06.2025";"12:23:00";1;4,57;4,57;0;0;;"TransferOut";"trade_republic";;;;;"EUR";;"hld_66ae05a9345023e86ede486b";;"Verrechnungskonto";;
"2025-06-23T07:00:00.000Z";"23.06.2025";"09:00:00";4,61;0,005652;0,0261;0;0;;"Dividend";"trade_republic";"Security";"US09290D1019";"A40PW4";;"EUR";;;"BlackRock";"";"langschwarz";
